"File","HasImages","AlreadyHadHoverStabilityBlock","Changed","MojibakeLinesBefore","MojibakeLinesAfter","MojibakeIncreased"
"murals\absolut-elvis-milan-2010.html","Yes","No","Yes","0","0","No"
"murals\avant-garde-urbano-2013.html","Yes","No","Yes","0","0","No"
"murals\basel-2019.html","Yes","No","Yes","0","0","No"
"murals\beacon-popmart-2018.html","Yes","No","Yes","0","0","No"
"murals\berlin-wall-1989.html","Yes","No","Yes","0","0","No"
"murals\berlin-wassertor-2017.html","Yes","No","Yes","0","0","No"
"murals\blackocean-pool-2014.html","Yes","No","Yes","0","0","No"
"murals\bowery-wall-2015.html","Yes","No","Yes","0","0","No"
"murals\chico-mendez-memorial-mural-1997.html","Yes","No","Yes","0","0","No"
"murals\complexcon-2016.html","Yes","No","Yes","0","0","No"
"murals\compound-harlem-2015.html","Yes","No","Yes","0","0","No"
"murals\coney-island-2015.html","Yes","No","Yes","0","0","No"
"murals\corey-helford-2015.html","Yes","No","Yes","0","0","No"
"murals\cowgirl-roskilde-2013.html","Yes","No","Yes","0","0","No"
"murals\decatur-elefanka-2017.html","Yes","No","Yes","0","0","No"
"murals\dubai-2016.html","Yes","No","Yes","0","0","No"
"murals\elefanka-lyon-2019.html","Yes","No","Yes","0","0","No"
"murals\elefanka-mousezilla-2019.html","Yes","No","Yes","0","0","No"
"murals\english-eichman-heart.html","Yes","No","Yes","0","0","No"
"murals\fashion-moda-1988.html","Yes","No","Yes","0","0","No"
"murals\grin-baby-richmond-2014.html","Yes","No","Yes","0","0","No"
"murals\grin-mural-2024.html","Yes","No","Yes","0","0","No"
"murals\holleyman.html","Yes","No","Yes","0","0","No"
"murals\index.html","Yes","No","Yes","0","0","No"
"murals\jersey-city-cole-street-2009.html","Yes","No","Yes","0","0","No"
"murals\jersey-city-mural-festival-2021.html","Yes","No","Yes","0","0","No"
"murals\jessica-rabbit.html","Yes","No","Yes","0","0","No"
"murals\k11-musea-2019.html","Yes","No","Yes","0","0","No"
"murals\last-supper-delusionville-2021.html","Yes","No","Yes","0","0","No"
"murals\lccc-dc-2022.html","Yes","No","Yes","0","0","No"
"murals\lpg-2012.html","Yes","No","Yes","0","0","No"
"murals\magic-city-dresden-2016.html","Yes","No","Yes","0","0","No"
"murals\manhattan-runners-2017.html","Yes","No","Yes","0","0","No"
"murals\medicine-agency-2009.html","Yes","No","Yes","0","0","No"
"murals\miami-marine-stadium-2014.html","Yes","No","Yes","0","0","No"
"murals\miami-popmart-2019.html","Yes","No","Yes","0","0","No"
"murals\milan-yin-yang.html","Yes","No","Yes","0","0","No"
"murals\mindstyle-china-2015.html","Yes","No","Yes","0","0","No"
"murals\mousemask-temper-rome-2013.html","Yes","No","Yes","0","0","No"
"murals\mural-festival-2017-montreal.html","Yes","No","Yes","0","0","No"
"murals\notacrime-2015.html","Yes","No","Yes","0","0","No"
"murals\nuart-2012.html","Yes","No","Yes","0","0","No"
"murals\one-wall-2017.html","Yes","No","Yes","0","0","No"
"murals\plessy-school-new-orleans-2022.html","Yes","No","Yes","0","0","No"
"murals\powwow-hawaii-2013.html","Yes","No","Yes","0","0","No"
"murals\primary-flight-2008.html","Yes","No","Yes","0","0","No"
"murals\primary-flight-2010.html","Yes","No","Yes","0","0","No"
"murals\proam-studio-city-7th-floor-2018.html","Yes","No","Yes","0","0","No"
"murals\prophet-bar.html","Yes","No","Yes","0","0","No"
"murals\punk-pink-skunk-2021.html","Yes","No","Yes","0","0","No"
"murals\reynosa-border-wall-2011.html","Yes","No","Yes","0","0","No"
"murals\rxsm-spiderhouse-2015.html","Yes","No","Yes","0","0","No"
"murals\spider-house-face-2015.html","Yes","No","Yes","0","0","No"
"murals\stlouis-loop-mural-2024.html","Yes","No","Yes","0","0","No"
"murals\temper-tot-little-italy-2012.html","Yes","No","Yes","0","0","No"
"murals\temper-tot-little-italy-2015.html","Yes","No","Yes","0","0","No"
"murals\texas-tantrum-trots-and-pals.html","Yes","No","Yes","0","0","No"
"murals\trumpty-dumpty-2017.html","Yes","No","Yes","0","0","No"
"murals\urban-bigfoot-2010.html","Yes","No","Yes","0","0","No"
"murals\victoria-2015.html","Yes","No","Yes","0","0","No"
"murals\west-bank-2007.html","Yes","No","Yes","0","0","No"
"murals\wynwood-2018.html","Yes","No","Yes","0","0","No"
"murals\wynwood-babyhulk-2010.html","Yes","No","Yes","0","0","No"
"murals\zelephant-south-haven-2014.html","Yes","No","Yes","0","0","No"
