"Section","File","WarningBefore","Changed","WarningAfter","RemainingSnippet"
"murals","absolut-elvis-milan-2010.html","Yes","No","Yes","English’™’…’…s ’™’…’Ã‚Â¹“Absolut Wallpaper’™’…’…in Milan and Rome’™’…’ <a href=""https://www.adcgroup.i"
"murals","avant-garde-urbano-2013.html","No","No","No",""
"murals","basel-2019.html","No","No","No",""
"murals","beacon-popmart-2018.html","No","No","No",""
"murals","berlin-wall-1989.html","No","No","No",""
"murals","berlin-wassertor-2017.html","No","No","No",""
"murals","blackocean-pool-2014.html","No","No","No",""
"murals","bowery-wall-2015.html","No","No","No",""
"murals","chico-mendez-memorial-mural-1997.html","No","No","No",""
"murals","complexcon-2016.html","No","Yes","No",""
"murals","compound-harlem-2015.html","No","No","No",""
"murals","coney-island-2015.html","No","No","No",""
"murals","corey-helford-2015.html","No","No","No",""
"murals","cowgirl-roskilde-2013.html","No","No","No",""
"murals","decatur-elefanka-2017.html","No","No","No",""
"murals","dubai-2016.html","No","No","No",""
"murals","elefanka-lyon-2019.html","No","No","No",""
"murals","elefanka-mousezilla-2019.html","No","No","No",""
"murals","english-eichman-heart.html","No","Yes","No",""
"murals","fashion-moda-1988.html","No","No","No",""
"murals","grin-baby-richmond-2014.html","No","Yes","No",""
"murals","grin-mural-2024.html","No","No","No",""
"murals","holleyman.html","No","No","No",""
"murals","index.html","No","Yes","No",""
"murals","jersey-city-cole-street-2009.html","No","No","No",""
"murals","jersey-city-mural-festival-2021.html","No","No","No",""
"murals","jessica-rabbit.html","No","Yes","No",""
"murals","k11-musea-2019.html","No","No","No",""
"murals","last-supper-delusionville-2021.html","No","No","No",""
"murals","lccc-dc-2022.html","No","No","No",""
"murals","lpg-2012.html","No","No","No",""
"murals","magic-city-dresden-2016.html","No","No","No",""
"murals","manhattan-runners-2017.html","No","No","No",""
"murals","medicine-agency-2009.html","No","No","No",""
"murals","miami-marine-stadium-2014.html","No","No","No",""
"murals","miami-popmart-2019.html","No","No","No",""
"murals","milan-yin-yang.html","No","Yes","No",""
"murals","mindstyle-china-2015.html","No","No","No",""
"murals","mousemask-temper-rome-2013.html","No","No","No",""
"murals","mural-festival-2017-montreal.html","No","No","No",""
"murals","notacrime-2015.html","No","No","No",""
"murals","nuart-2012.html","No","No","No",""
"murals","one-wall-2017.html","No","No","No",""
"murals","plessy-school-new-orleans-2022.html","No","No","No",""
"murals","powwow-hawaii-2013.html","No","No","No",""
"murals","primary-flight-2008.html","No","No","No",""
"murals","primary-flight-2010.html","No","No","No",""
"murals","proam-studio-city-7th-floor-2018.html","No","No","No",""
"murals","prophet-bar.html","No","Yes","No",""
"murals","punk-pink-skunk-2021.html","No","No","No",""
"murals","reynosa-border-wall-2011.html","No","No","No",""
"murals","rxsm-spiderhouse-2015.html","No","No","No",""
"murals","spider-house-face-2015.html","No","No","No",""
"murals","stlouis-loop-mural-2024.html","No","No","No",""
"murals","temper-tot-little-italy-2012.html","No","No","No",""
"murals","temper-tot-little-italy-2015.html","No","No","No",""
"murals","texas-tantrum-trots-and-pals.html","No","No","No",""
"murals","trumpty-dumpty-2017.html","No","No","No",""
"murals","urban-bigfoot-2010.html","No","No","No",""
"murals","victoria-2015.html","No","No","No",""
"murals","west-bank-2007.html","No","No","No",""
"murals","wynwood-2018.html","No","No","No",""
"murals","wynwood-babyhulk-2010.html","No","No","No",""
"murals","zelephant-south-haven-2014.html","No","No","No",""
