"Section","File","Changed","TermsLinkStillPresent","MojibakeWarning"
"murals","absolut-elvis-milan-2010.html","Yes","No","Yes"
"murals","avant-garde-urbano-2013.html","Yes","No","Yes"
"murals","basel-2019.html","Yes","No","Yes"
"murals","beacon-popmart-2018.html","Yes","No","Yes"
"murals","berlin-wall-1989.html","Yes","No","Yes"
"murals","berlin-wassertor-2017.html","Yes","No","Yes"
"murals","blackocean-pool-2014.html","Yes","No","Yes"
"murals","bowery-wall-2015.html","Yes","No","Yes"
"murals","chico-mendez-memorial-mural-1997.html","Yes","No","Yes"
"murals","complexcon-2016.html","Yes","No","Yes"
"murals","compound-harlem-2015.html","Yes","No","Yes"
"murals","coney-island-2015.html","Yes","No","Yes"
"murals","corey-helford-2015.html","Yes","No","Yes"
"murals","cowgirl-roskilde-2013.html","Yes","No","Yes"
"murals","decatur-elefanka-2017.html","Yes","No","Yes"
"murals","dubai-2016.html","Yes","No","Yes"
"murals","elefanka-lyon-2019.html","Yes","No","Yes"
"murals","elefanka-mousezilla-2019.html","Yes","No","Yes"
"murals","english-eichman-heart.html","Yes","No","Yes"
"murals","fashion-moda-1988.html","Yes","No","Yes"
"murals","grin-baby-richmond-2014.html","Yes","No","Yes"
"murals","grin-mural-2024.html","Yes","No","Yes"
"murals","holleyman.html","Yes","No","Yes"
"murals","jersey-city-cole-street-2009.html","Yes","No","Yes"
"murals","jersey-city-mural-festival-2021.html","Yes","No","Yes"
"murals","jessica-rabbit.html","Yes","No","Yes"
"murals","k11-musea-2019.html","Yes","No","Yes"
"murals","last-supper-delusionville-2021.html","Yes","No","Yes"
"murals","lccc-dc-2022.html","Yes","No","Yes"
"murals","lpg-2012.html","Yes","No","Yes"
"murals","magic-city-dresden-2016.html","Yes","No","Yes"
"murals","manhattan-runners-2017.html","Yes","No","Yes"
"murals","medicine-agency-2009.html","Yes","No","Yes"
"murals","miami-marine-stadium-2014.html","Yes","No","Yes"
"murals","miami-popmart-2019.html","Yes","No","Yes"
"murals","milan-yin-yang.html","Yes","No","Yes"
"murals","mindstyle-china-2015.html","Yes","No","Yes"
"murals","mousemask-temper-rome-2013.html","Yes","No","Yes"
"murals","mural-festival-2017-montreal.html","Yes","No","Yes"
"murals","notacrime-2015.html","Yes","No","Yes"
"murals","nuart-2012.html","Yes","No","Yes"
"murals","one-wall-2017.html","Yes","No","Yes"
"murals","plessy-school-new-orleans-2022.html","Yes","No","Yes"
"murals","powwow-hawaii-2013.html","Yes","No","Yes"
"murals","primary-flight-2008.html","Yes","No","Yes"
"murals","primary-flight-2010.html","Yes","No","Yes"
"murals","proam-studio-city-7th-floor-2018.html","Yes","No","Yes"
"murals","prophet-bar.html","Yes","No","Yes"
"murals","punk-pink-skunk-2021.html","Yes","No","Yes"
"murals","reynosa-border-wall-2011.html","Yes","No","Yes"
"murals","rxsm-spiderhouse-2015.html","Yes","No","Yes"
"murals","spider-house-face-2015.html","Yes","No","Yes"
"murals","stlouis-loop-mural-2024.html","Yes","No","Yes"
"murals","temper-tot-little-italy-2012.html","Yes","No","Yes"
"murals","temper-tot-little-italy-2015.html","Yes","No","Yes"
"murals","texas-tantrum-trots-and-pals.html","Yes","No","Yes"
"murals","trumpty-dumpty-2017.html","Yes","No","Yes"
"murals","urban-bigfoot-2010.html","Yes","No","Yes"
"murals","victoria-2015.html","Yes","No","Yes"
"murals","west-bank-2007.html","Yes","No","Yes"
"murals","wynwood-2018.html","Yes","No","Yes"
"murals","wynwood-babyhulk-2010.html","Yes","No","Yes"
"murals","zelephant-south-haven-2014.html","Yes","No","Yes"
